"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4465","us09_accessPrivacyPage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us09_accessPrivacyPage"
"","5066","accessPrivacyPageTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory9SelenideTest","pt.iscte.blackbattleship.rodrigo.tests.UserStory9SelenideTest","accessPrivacyPageTest"
"","2717","accessPrivacyOrTermsPageTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory9Test","pt.iscte.blackbattleship.rodrigo.tests.UserStory9Test","accessPrivacyOrTermsPageTest"
"","3311","changeLanguageOptionsTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory10SelenideTest","pt.iscte.blackbattleship.rodrigo.tests.UserStory10SelenideTest","changeLanguageOptionsTest"
"","3453","us12_accessPaperGamesHomePage()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us12_accessPaperGamesHomePage"
"","5729","us11_shareOptionVisible()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us11_shareOptionVisible"
"","3071","shareOptionVisibleTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory11SelenideTest","pt.iscte.blackbattleship.rodrigo.tests.UserStory11SelenideTest","shareOptionVisibleTest"
"","3850","accessPaperGamesHomePageTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory12SelenideTest","pt.iscte.blackbattleship.rodrigo.tests.UserStory12SelenideTest","accessPaperGamesHomePageTest"
"","4564","shareOptionVisibleTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory11Test","pt.iscte.blackbattleship.rodrigo.tests.UserStory11Test","shareOptionVisibleTest"
"","3186","us10_openLanguageOptions()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","pt.iscte.blackbattleship.rodrigo.tests.RodrigoSitePageTest","us10_openLanguageOptions"
"","4210","accessPaperGamesHomePageTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory12Test","pt.iscte.blackbattleship.rodrigo.tests.UserStory12Test","accessPaperGamesHomePageTest"
"","2689","changeLanguageOptionsTest()","","2026-05-12","passed","2026-05-12","","pt.iscte.blackbattleship.rodrigo.tests.UserStory10Test","pt.iscte.blackbattleship.rodrigo.tests.UserStory10Test","changeLanguageOptionsTest"
